Year,Sex,Age,Value
2015,,,96.0
2016,,,75.0
2017,,,56.0
2015,Male,,50.0
2016,Male,,37.0
2017,Male,,27.0
2015,Female,,46.0
2016,Female,,38.0
2017,Female,,29.0
2015,,up to 6 months,1.0
2016,,up to 6 months,1.0
2017,,up to 6 months,3.0
2015,Male,up to 6 months,0.0
2016,Male,up to 6 months,0.0
2017,Male,up to 6 months,2.0
2015,Female,up to 6 months,1.0
2016,Female,up to 6 months,1.0
2017,Female,up to 6 months,1.0
2015,,from 6 months to 1 year,16.0
2016,,from 6 months to 1 year,11.0
2017,,from 6 months to 1 year,9.0
2015,Male,from 6 months to 1 year,7.0
2016,Male,from 6 months to 1 year,5.0
2017,Male,from 6 months to 1 year,4.0
2015,Female,from 6 months to 1 year,9.0
2016,Female,from 6 months to 1 year,6.0
2017,Female,from 6 months to 1 year,5.0
2015,,aged 1-5 years,56.0
2016,,aged 1-5 years,41.0
2017,,aged 1-5 years,30.0
2015,Male,aged 1-5 years,27.0
2016,Male,aged 1-5 years,16.0
2017,Male,aged 1-5 years,13.0
2015,Female,aged 1-5 years,29.0
2016,Female,aged 1-5 years,25.0
2017,Female,aged 1-5 years,17.0
2015,,aged 6-9 years,10.0
2016,,aged 6-9 years,8.0
2017,,aged 6-9 years,6.0
2015,Male,aged 6-9 years,6.0
2016,Male,aged 6-9 years,7.0
2017,Male,aged 6-9 years,2.0
2015,Female,aged 6-9 years,4.0
2016,Female,aged 6-9 years,1.0
2017,Female,aged 6-9 years,4.0
2015,,aged 10-15 years,9.0
2016,,aged 10-15 years,10.0
2017,,aged 10-15 years,5.0
2015,Male,aged 10-15 years,8.0
2016,Male,aged 10-15 years,8.0
2017,Male,aged 10-15 years,4.0
2015,Female,aged 10-15 years,1.0
2016,Female,aged 10-15 years,2.0
2017,Female,aged 10-15 years,1.0
2015,,aged 16-17 years,4.0
2016,,aged 16-17 years,4.0
2017,,aged 16-17 years,3.0
2015,Male,aged 16-17 years,2.0
2016,Male,aged 16-17 years,1.0
2017,Male,aged 16-17 years,2.0
2015,Female,aged 16-17 years,2.0
2016,Female,aged 16-17 years,3.0
2017,Female,aged 16-17 years,1.0
